originalTid,ovr,pick,pot,round,skills,tid,year,pid
5,24,17,58,1,[],5,2066,3909
-1,27,0,34,0,[],-1,2066,3910
12,22,30,52,1,[],12,2066,3911
28,31,3,47,2,[],28,2066,3912
10,26,9,46,2,[],10,2066,3913
-1,26,0,35,0,[],-1,2066,3914
7,31,15,56,1,[],7,2066,3915
22,31,21,53,1,[],22,2066,3916
20,23,2,51,2,[],20,2066,3917
15,29,27,35,2,[],15,2066,3918
23,30,19,39,2,[],23,2066,3919
12,28,29,35,2,[],12,2066,3920
28,49,3,64,1,[],28,2066,3921
9,29,30,32,2,[],9,2066,3922
24,35,13,56,1,[],24,2066,3923
23,32,19,55,1,[],23,2066,3924
0,27,25,37,2,[],0,2066,3925
14,28,18,57,1,[],14,2066,3926
27,27,22,38,2,[],27,2066,3927
5,33,16,39,2,[],5,2066,3928
13,32,15,40,2,[],13,2066,3929
-1,16,0,19,0,[],-1,2066,3930
14,30,18,39,2,[],14,2066,3931
0,30,25,52,1,[],11,2066,3932
21,33,23,52,1,[],21,2066,3933
29,26,24,38,2,[],29,2066,3934
-1,26,0,26,0,[],-1,2066,3935
3,51,1,62,1,[],3,2066,3936
26,41,6,60,1,[],26,2066,3937
10,43,8,58,1,['Ps'],10,2066,3938
15,37,27,52,1,[],15,2066,3939
29,33,24,54,1,[],29,2066,3940
19,28,1,53,2,[],19,2066,3941
25,45,9,57,1,[],25,2066,3942
4,27,6,49,2,[],4,2066,3943
3,33,7,46,2,[],3,2066,3944
-1,26,0,29,0,[],-1,2066,3945
27,35,22,54,1,[],27,2066,3946
16,31,20,39,2,[],16,2066,3947
-1,20,0,39,0,[],-1,2066,3948
11,31,5,51,2,[],11,2066,3949
16,33,20,56,1,[],16,2066,3950
13,35,14,59,1,[],13,2066,3951
24,34,12,44,2,[],24,2066,3952
4,47,7,61,1,[],4,2066,3953
17,30,28,57,1,[],17,2066,3954
8,48,11,57,1,['A'],8,2066,3955
9,43,29,49,1,[],14,2066,3956
2,35,26,56,1,[],2,2066,3957
25,35,8,47,2,[],25,2066,3958
7,36,14,43,2,[],7,2066,3959
6,42,12,60,1,[],6,2066,3960
21,29,23,41,2,[],21,2066,3961
20,53,5,61,1,[],20,2066,3962
11,51,2,64,1,[],11,2066,3963
1,46,10,61,1,[],1,2066,3964
-1,21,0,26,0,[],-1,2066,3965
1,39,11,43,2,[],1,2066,3966
2,28,26,43,2,[],2,2066,3967
-1,28,0,36,0,[],-1,2066,3968
-1,27,0,28,0,[],-1,2066,3969
28,33,12,58,1,[],28,2067,3970
2,44,1,80,1,[],2,2067,3971
-1,30,0,33,0,[],-1,2067,3972
22,31,21,37,2,[],22,2067,3973
21,32,25,55,1,[],21,2067,3974
24,22,17,42,2,[],24,2067,3975
12,26,30,53,1,[],12,2067,3976
0,33,11,41,2,[],0,2067,3977
13,28,23,55,1,[],13,2067,3978
-1,29,0,33,0,[],-1,2067,3979
8,25,10,45,2,[],8,2067,3980
2,28,2,52,2,[],20,2067,3981
4,30,8,44,2,[],4,2067,3982
21,25,26,37,2,[],21,2067,3983
20,30,22,37,2,[],20,2067,3984
1,23,1,54,2,[],1,2067,3985
19,30,9,64,1,[],19,2067,3986
1,42,4,66,1,[],1,2067,3987
23,30,20,38,2,[],23,2067,3988
5,44,11,56,1,[],5,2067,3989
18,36,2,73,1,[],18,2067,3990
23,36,20,55,1,[],23,2067,3991
5,26,12,42,2,[],5,2067,3992
-1,19,0,24,0,[],-1,2067,3993
-1,16,0,30,0,[],-1,2067,3994
4,37,7,60,1,[],4,2067,3995
17,31,29,52,1,[],17,2067,3996
22,24,22,57,1,[],22,2067,3997
7,32,17,57,1,[],7,2067,3998
8,46,10,57,1,[],8,2067,3999
11,28,24,55,1,[],11,2067,4000
26,23,5,49,2,[],26,2067,4001
19,26,9,43,2,[],19,2067,4002
14,36,13,58,1,[],14,2067,4003
10,32,8,61,1,[],10,2067,4004
16,35,19,59,1,[],16,2067,4005
25,33,6,46,2,[],25,2067,4006
10,28,7,45,2,[],10,2067,4007
6,35,5,69,1,[],6,2067,4008
6,32,4,47,2,[],6,2067,4009
-1,23,0,24,0,[],-1,2067,4010
-1,21,0,37,0,[],-1,2067,4011
20,38,21,56,1,[],20,2067,4012
7,27,15,43,2,[],7,2067,4013
29,27,25,38,2,[],29,2067,4014
29,35,26,55,1,[],29,2067,4015
28,24,13,45,2,[],28,2067,4016
-1,27,0,32,0,[],-1,2067,4017
18,35,3,47,2,[],18,2067,4018
3,38,16,59,1,[],3,2067,4019
26,55,3,68,1,['Ps'],26,2067,4020
27,30,27,35,2,[],27,2067,4021
11,32,24,36,2,[],11,2067,4022
25,55,6,61,1,[],25,2067,4023
0,49,15,56,1,[],0,2067,4024
16,31,18,42,2,[],16,2067,4025
24,45,14,58,1,[],24,2067,4026
14,27,14,47,2,[],14,2067,4027
9,43,18,56,1,[],9,2067,4028
-1,24,0,26,0,[],-1,2067,4029
3,32,16,43,2,[],3,2067,4030
12,29,30,36,2,[],12,2067,4031
15,36,28,60,1,[],15,2067,4032
9,34,19,34,2,[],9,2067,4033
-1,23,0,25,0,[],-1,2067,4034
27,42,27,54,1,[],27,2067,4035
13,35,23,36,2,[],13,2067,4036
17,28,29,37,2,[],16,2067,4037
-1,27,0,38,0,[],-1,2067,4038
15,34,28,34,2,[],15,2067,4039
26,31,4,44,2,[],26,2068,4040
1,26,8,43,2,[],1,2068,4041
25,25,25,36,2,[],27,2068,4042
4,44,4,61,1,"['Di', 'Po', 'R']",4,2068,4043
6,36,16,55,1,[],6,2068,4044
-1,21,0,28,0,[],-1,2068,4045
22,33,9,41,2,[],22,2068,4046
19,32,14,57,1,[],19,2068,4047
29,24,18,37,2,[],13,2068,4048
13,36,21,49,1,[],13,2068,4049
5,30,28,46,1,[],5,2068,4050
-1,20,0,24,0,[],-1,2068,4051
-1,26,0,26,0,[],-1,2068,4052
28,37,18,52,1,[],28,2068,4053
17,29,17,54,1,[],17,2068,4054
10,42,5,59,1,[],10,2068,4055
24,29,15,57,1,[],24,2068,4056
17,24,17,39,2,[],17,2068,4057
8,27,13,58,1,[],8,2068,4058
27,20,29,34,2,[],27,2068,4059
16,24,24,37,2,[],16,2068,4060
7,32,5,44,2,[],7,2068,4061
-1,22,0,33,0,[],-1,2068,4062
0,34,23,34,2,[],0,2068,4063
21,33,1,44,2,[],21,2068,4064
14,30,6,44,2,[],14,2068,4065
26,36,1,66,1,[],26,2068,4066
9,23,30,33,2,[],9,2068,4067
6,28,14,39,2,[],6,2068,4068
19,30,15,37,2,[],27,2068,4069
23,36,11,57,1,[],23,2068,4070
20,26,21,37,2,[],20,2068,4071
18,38,7,58,1,[],18,2068,4072
7,28,6,62,1,[],7,2068,4073
28,31,16,38,2,[],28,2068,4074
10,31,2,47,2,[],10,2068,4075
8,29,13,41,2,[],8,2068,4076
-1,19,0,23,0,[],-1,2068,4077
2,28,11,41,2,[],2,2068,4078
22,29,10,62,1,[],22,2068,4079
2,30,12,62,1,[],2,2068,4080
3,39,19,56,1,[],3,2068,4081
18,22,7,49,2,[],18,2068,4082
3,29,19,38,2,[],3,2068,4083
9,35,29,46,1,[],9,2068,4084
15,32,27,33,2,[],13,2068,4085
-1,25,0,31,0,[],-1,2068,4086
23,36,10,40,2,[],23,2068,4087
-1,17,0,25,0,[],-1,2068,4088
20,33,22,52,1,[],20,2068,4089
27,28,30,49,1,[],27,2068,4090
29,44,3,61,1,[],29,2068,4091
14,43,8,58,1,[],14,2068,4092
11,32,26,53,1,[],11,2068,4093
1,50,9,58,1,[],1,2068,4094
15,30,27,54,1,[],15,2068,4095
5,28,28,35,2,[],5,2068,4096
-1,27,0,34,0,[],-1,2068,4097
13,33,22,35,2,[],13,2068,4098
21,55,2,71,1,[],21,2068,4099
16,35,24,51,1,[],16,2068,4100
25,45,25,45,1,[],25,2068,4101
12,42,23,49,1,[],12,2068,4102
4,30,3,53,2,[],4,2068,4103
0,46,20,50,1,[],0,2068,4104
-1,24,0,32,0,[],-1,2068,4105
24,37,12,37,2,[],24,2068,4106
11,32,26,32,2,[],11,2068,4107
-1,29,0,29,0,[],-1,2068,4108
12,33,20,38,2,[],12,2068,4109
10,56,1,73,1,"['A', 'B', 'Dp']",10,2069,4110
23,31,23,40,2,[],23,2069,4111
13,32,13,44,2,[],13,2069,4112
15,46,11,57,1,[],15,2069,4113
27,34,25,38,2,[],27,2069,4114
28,34,18,43,2,[],28,2069,4115
11,22,8,49,2,[],11,2069,4116
6,33,2,74,1,[],6,2069,4117
28,33,16,58,1,[],28,2069,4118
24,22,22,42,2,[],24,2069,4119
17,36,5,64,1,[],17,2069,4120
5,33,20,58,1,[],5,2069,4121
-1,32,0,33,0,[],-1,2069,4122
8,26,28,56,1,[],8,2069,4123
12,34,15,43,2,[],12,2069,4124
2,36,16,41,2,[],2,2069,4125
-1,27,0,37,0,[],-1,2069,4126
25,30,27,55,1,[],25,2069,4127
4,29,3,51,2,[],4,2069,4128
26,31,10,62,1,[],26,2069,4129
-1,29,0,32,0,[],-1,2069,4130
20,33,21,57,1,[],20,2069,4131
2,33,18,58,1,[],2,2069,4132
1,22,14,47,2,[],1,2069,4133
11,35,9,60,1,[],11,2069,4134
-1,27,0,34,0,[],-1,2069,4135
24,26,23,57,1,[],24,2069,4136
-1,29,0,29,0,[],-1,2069,4137
0,27,30,37,2,[],0,2069,4138
0,29,30,55,1,[],0,2069,4139
17,21,4,53,2,[],17,2069,4140
7,29,4,69,1,[],7,2069,4141
13,26,14,60,1,[],13,2069,4142
21,31,8,61,1,[],21,2069,4143
15,39,10,44,2,[],15,2069,4144
14,35,17,61,1,[],14,2069,4145
21,34,7,51,2,[],21,2069,4146
25,24,27,42,2,[],25,2069,4147
10,35,1,53,2,[],10,2069,4148
-1,24,0,31,0,[],-1,2069,4149
9,37,29,54,1,[],9,2069,4150
26,23,11,51,2,[],26,2069,4151
19,37,19,59,1,[],19,2069,4152
9,21,29,40,2,[],9,2069,4153
29,34,26,38,2,[],29,2069,4154
12,31,15,64,1,[],12,2069,4155
3,36,25,57,1,[],3,2069,4156
4,56,3,70,1,"['B', 'Dp', 'Ps']",4,2069,4157
6,38,9,45,2,[],6,2069,4158
1,38,13,61,1,[],1,2069,4159
-1,28,0,34,0,[],-1,2069,4160
16,45,12,58,1,[],16,2069,4161
14,35,17,42,2,[],14,2069,4162
16,39,12,44,2,[],16,2069,4163
18,45,6,67,1,"['Di', 'Po']",18,2069,4164
22,34,6,49,2,[],22,2069,4165
7,32,2,60,2,[],7,2069,4166
27,42,24,56,1,['Po'],27,2069,4167
22,58,7,60,1,"['A', 'Dp']",22,2069,4168
-1,20,0,24,0,[],-1,2069,4169
18,44,5,47,2,[],18,2069,4170
29,37,26,59,1,[],29,2069,4171
3,35,24,41,2,[],3,2069,4172
5,34,19,44,2,[],20,2069,4173
8,36,28,36,2,[],8,2069,4174
-1,31,0,38,0,[],-1,2069,4175
23,52,22,52,1,[],23,2069,4176
19,35,20,42,2,[],19,2069,4177
20,32,21,45,2,[],20,2069,4178
-1,27,0,27,0,[],-1,2069,4179
17,34,5,62,1,[],17,2070,4180
28,44,1,68,1,"['Po', 'R']",28,2070,4181
24,33,23,49,1,[],24,2070,4182
21,27,10,58,1,[],21,2070,4183
2,26,14,37,2,[],20,2070,4184
2,24,13,58,1,[],2,2070,4185
15,28,20,34,2,[],15,2070,4186
11,22,19,55,1,[],11,2070,4187
-1,21,0,28,0,[],-1,2070,4188
18,32,6,58,1,[],18,2070,4189
3,31,24,49,1,[],3,2070,4190
22,30,17,35,2,[],22,2070,4191
9,26,30,30,2,[],9,2070,4192
10,33,26,47,1,[],10,2070,4193
23,24,26,33,2,[],23,2070,4194
19,34,22,49,1,[],19,2070,4195
26,40,2,65,1,[],26,2070,4196
7,35,9,60,1,[],7,2070,4197
1,27,21,51,1,[],1,2070,4198
-1,21,0,25,0,[],-1,2070,4199
24,28,24,34,2,[],24,2070,4200
6,28,15,55,1,[],6,2070,4201
0,26,28,48,1,[],0,2070,4202
-1,18,0,31,0,[],-1,2070,4203
27,30,12,57,1,[],27,2070,4204
28,31,1,45,2,[],28,2070,4205
25,26,11,40,2,[],25,2070,4206
3,26,23,34,2,[],3,2070,4207
12,44,7,51,1,['B'],9,2070,4208
16,30,14,56,1,[],16,2070,4209
29,17,28,34,2,[],29,2070,4210
19,25,21,36,2,[],19,2070,4211
29,37,29,45,1,[],29,2070,4212
25,30,11,57,1,[],25,2070,4213
16,20,18,38,2,[],16,2070,4214
-1,24,0,32,0,[],-1,2070,4215
22,37,17,54,1,[],22,2070,4216
14,41,3,65,1,[],14,2070,4217
20,38,16,54,1,[],20,2070,4218
11,28,19,37,2,[],11,2070,4219
0,26,29,32,2,[],0,2070,4220
21,26,10,43,2,[],21,2070,4221
18,30,6,43,2,[],7,2070,4222
-1,24,0,29,0,[],-1,2070,4223
27,37,12,37,2,[],25,2070,4224
-1,23,0,31,0,[],-1,2070,4225
6,30,13,38,2,[],6,2070,4226
15,29,20,54,1,[],15,2070,4227
7,34,7,40,2,[],7,2070,4228
5,35,16,35,2,[],5,2070,4229
23,30,25,52,1,[],23,2070,4230
8,29,27,32,2,[],8,2070,4231
13,31,8,64,1,[],13,2070,4232
20,34,15,35,2,[],20,2070,4233
17,35,4,42,2,[],17,2070,4234
4,43,4,67,1,[],4,2070,4235
1,32,22,33,2,[],1,2070,4236
9,38,30,40,1,[],9,2070,4237
8,44,27,44,1,[],8,2070,4238
13,32,8,43,2,[],6,2070,4239
4,32,2,49,2,[],4,2070,4240
26,30,5,45,2,[],26,2070,4241
12,38,9,38,2,[],22,2070,4242
-1,29,0,31,0,[],-1,2070,4243
14,30,3,49,2,[],14,2070,4244
5,48,18,48,1,[],5,2070,4245
-1,23,0,31,0,[],-1,2070,4246
-1,26,0,28,0,[],-1,2070,4247
10,32,25,32,2,[],10,2070,4248
-1,16,0,37,0,[],-1,2070,4249
17,30,17,41,2,[],17,2071,4250
28,32,14,42,2,[],28,2071,4251
21,31,15,43,2,[],21,2071,4252
20,33,8,58,1,[],20,2071,4253
22,30,7,59,1,[],22,2071,4254
-1,27,0,31,0,[],-1,2071,4255
3,30,20,41,2,[],3,2071,4256
26,33,5,58,1,[],26,2071,4257
25,32,1,68,1,[],25,2071,4258
6,29,14,55,1,[],6,2071,4259
8,35,18,51,1,[],8,2071,4260
29,22,27,36,2,[],29,2071,4261
24,30,3,63,1,[],24,2071,4262
14,27,6,61,1,[],14,2071,4263
15,34,25,50,1,[],15,2071,4264
19,31,2,61,1,[],19,2071,4265
16,20,29,36,2,[],16,2071,4266
29,32,28,49,1,[],29,2071,4267
1,32,11,57,1,[],1,2071,4268
15,30,25,37,2,[],15,2071,4269
23,31,16,55,1,[],23,2071,4270
11,27,22,52,1,[],11,2071,4271
27,32,10,44,2,[],19,2071,4272
11,21,22,39,2,[],11,2071,4273
5,24,3,50,2,[],5,2071,4274
13,29,23,36,2,[],29,2071,4275
4,22,13,59,1,[],4,2071,4276
0,27,19,54,1,[],0,2071,4277
-1,27,0,33,0,[],-1,2071,4278
-1,28,0,28,0,[],-1,2071,4279
3,29,21,52,1,[],3,2071,4280
2,30,9,45,2,[],2,2071,4281
6,28,12,43,2,[],6,2071,4282
23,26,16,43,2,[],23,2071,4283
8,30,18,39,2,[],8,2071,4284
-1,27,0,31,0,[],-1,2071,4285
-1,29,0,29,0,[],-1,2071,4286
21,33,15,60,1,[],21,2071,4287
0,23,19,43,2,[],0,2071,4288
12,42,26,48,1,[],12,2071,4289
9,37,30,49,1,[],9,2071,4290
2,27,10,63,1,[],2,2071,4291
24,24,7,50,2,[],24,2071,4292
13,33,23,52,1,[],13,2071,4293
27,42,9,57,1,[],27,2071,4294
19,33,8,49,2,[],19,2071,4295
28,45,12,55,1,['Po'],28,2071,4296
18,30,20,55,1,[],18,2071,4297
14,27,4,51,2,[],14,2071,4298
10,33,28,33,2,[],10,2071,4299
-1,19,0,25,0,[],-1,2071,4300
22,34,5,47,2,[],22,2071,4301
7,38,24,51,1,[],7,2071,4302
26,36,2,50,2,[],26,2071,4303
20,34,6,49,2,[],7,2071,4304
-1,18,0,28,0,[],-1,2071,4305
9,32,30,33,2,[],9,2071,4306
4,37,13,42,2,[],4,2071,4307
10,46,27,46,1,[],10,2071,4308
17,36,17,56,1,[],17,2071,4309
25,35,1,52,2,[],12,2071,4310
5,52,4,57,1,[],5,2071,4311
1,37,11,44,2,[],1,2071,4312
12,33,26,35,2,[],12,2071,4313
-1,25,0,38,0,[],-1,2071,4314
-1,27,0,32,0,[],-1,2071,4315
7,34,24,34,2,[],7,2071,4316
16,35,29,56,1,[],16,2071,4317
18,33,21,39,2,[],18,2071,4318
-1,20,0,25,0,[],-1,2071,4319
16,26,29,35,2,[],16,2072,4320
2,52,17,55,1,[],2,2072,4321
6,34,8,47,2,[],6,2072,4322
17,38,14,60,1,[],17,2072,4323
-1,24,0,29,0,[],-1,2072,4324
16,27,28,54,1,[],16,2072,4325
15,24,20,42,2,[],15,2072,4326
18,28,11,47,2,[],18,2072,4327
29,27,21,61,1,[],29,2072,4328
11,29,28,35,2,[],11,2072,4329
27,31,16,61,1,[],27,2072,4330
-1,24,0,31,0,[],-1,2072,4331
22,22,18,43,2,[],22,2072,4332
-1,24,0,31,0,[],-1,2072,4333
18,37,11,61,1,[],18,2072,4334
5,37,9,63,1,[],5,2072,4335
23,42,7,65,1,['B'],23,2072,4336
9,28,27,30,2,[],9,2072,4337
24,30,25,54,1,[],24,2072,4338
-1,23,0,30,0,[],-1,2072,4339
19,40,6,66,1,[],19,2072,4340
24,31,25,35,2,[],24,2072,4341
13,32,12,63,1,[],13,2072,4342
15,38,20,56,1,[],15,2072,4343
11,26,29,54,1,[],11,2072,4344
14,27,2,51,2,[],14,2072,4345
17,26,14,47,2,[],17,2072,4346
13,26,12,47,2,[],13,2072,4347
-1,24,0,26,0,[],-1,2072,4348
8,43,15,59,1,[],8,2072,4349
1,29,10,64,1,[],1,2072,4350
25,35,2,75,1,[],25,2072,4351
7,33,24,54,1,[],7,2072,4352
28,33,19,41,2,[],28,2072,4353
23,22,7,51,2,[],23,2072,4354
26,29,13,47,2,[],26,2072,4355
3,38,23,58,1,[],3,2072,4356
27,29,17,45,2,[],27,2072,4357
25,32,1,55,2,[],25,2072,4358
-1,23,0,31,0,[],-1,2072,4359
12,29,30,34,2,['3'],12,2072,4360
9,36,27,36,1,[],9,2072,4361
26,49,13,59,1,['3'],26,2072,4362
4,30,5,55,2,[],4,2072,4363
5,32,9,49,2,[],5,2072,4364
7,26,22,44,2,[],7,2072,4365
4,44,5,65,1,[],4,2072,4366
1,25,10,52,2,[],1,2072,4367
22,40,19,59,1,[],22,2072,4368
0,35,26,35,2,[],0,2072,4369
20,47,4,67,1,"['Po', 'R']",20,2072,4370
21,35,6,51,2,[],21,2072,4371
-1,19,0,28,0,[],-1,2072,4372
14,49,3,72,1,['B'],14,2072,4373
20,34,3,57,2,[],20,2072,4374
6,50,8,62,1,[],6,2072,4375
19,34,4,56,2,[],19,2072,4376
8,30,15,49,2,[],8,2072,4377
21,56,1,69,1,"['A', 'Dp']",21,2072,4378
10,45,22,57,1,[],10,2072,4379
2,34,16,45,2,[],5,2072,4380
12,34,30,58,1,[],12,2072,4381
0,48,26,50,1,['R'],0,2072,4382
28,48,18,62,1,[],28,2072,4383
10,29,24,40,2,[],10,2072,4384
29,35,21,35,2,[],29,2072,4385
3,28,23,44,2,[],3,2072,4386
-1,29,0,29,0,[],-1,2072,4387
-1,25,0,25,0,[],-1,2072,4388
-1,26,0,28,0,[],-1,2072,4389
9,39,29,45,1,[],9,2073,4390
18,35,8,58,1,[],18,2073,4391
-1,23,0,32,0,[],-1,2073,4392
23,48,2,71,1,[],23,2073,4393
5,37,14,57,1,[],5,2073,4394
14,29,5,47,2,[],14,2073,4395
17,28,11,44,2,[],17,2073,4396
11,27,25,34,2,[],11,2073,4397
19,37,21,53,1,[],19,2073,4398
28,26,28,51,1,[],28,2073,4399
-1,23,0,34,0,[],-1,2073,4400
17,27,12,59,1,[],17,2073,4401
11,33,25,52,1,[],11,2073,4402
5,32,14,40,2,[],5,2073,4403
15,25,12,44,2,[],5,2073,4404
7,29,19,35,2,[],7,2073,4405
25,34,4,63,1,[],25,2073,4406
20,38,17,55,1,[],20,2073,4407
7,30,19,55,1,[],7,2073,4408
8,37,15,55,1,[],8,2073,4409
26,38,22,51,1,[],26,2073,4410
15,41,3,64,1,[],15,2073,4411
3,24,23,35,2,[],3,2073,4412
23,25,4,48,2,[],23,2073,4413
0,28,24,52,1,[],0,2073,4414
6,31,1,70,1,[],6,2073,4415
27,25,10,42,2,[],27,2073,4416
-1,26,0,30,0,[],-1,2073,4417
13,25,21,36,2,[],13,2073,4418
21,24,13,42,2,[],21,2073,4419
14,34,6,62,1,[],14,2073,4420
28,23,27,34,2,[],28,2073,4421
24,27,7,46,2,[],24,2073,4422
29,35,7,62,1,[],29,2073,4423
19,30,20,35,2,[],19,2073,4424
13,26,20,60,1,[],13,2073,4425
-1,23,0,33,0,[],-1,2073,4426
10,32,26,55,1,[],10,2073,4427
4,38,3,47,2,[],4,2073,4428
12,41,16,54,1,[],12,2073,4429
1,43,10,57,1,[],1,2073,4430
2,31,18,58,1,[],2,2073,4431
24,42,9,58,1,[],24,2073,4432
21,30,13,61,1,[],21,2073,4433
6,34,1,51,2,[],6,2073,4434
16,36,30,51,1,[],16,2073,4435
3,31,23,57,1,[],3,2073,4436
20,30,18,38,2,[],20,2073,4437
4,49,5,60,1,[],4,2073,4438
8,23,16,41,2,[],8,2073,4439
29,32,6,48,2,[],29,2073,4440
-1,23,0,27,0,[],-1,2073,4441
16,30,30,32,2,[],16,2073,4442
-1,27,0,32,0,[],-1,2073,4443
1,36,9,45,2,[],1,2073,4444
-1,21,0,29,0,[],-1,2073,4445
0,31,24,35,2,[],0,2073,4446
2,36,17,36,2,[],2,2073,4447
-1,26,0,31,0,[],-1,2073,4448
22,47,27,47,1,[],22,2073,4449
12,31,15,42,2,[],12,2073,4450
27,42,11,60,1,[],27,2073,4451
26,31,22,36,2,[],26,2073,4452
-1,26,0,30,0,[],-1,2073,4453
9,27,29,34,2,[],9,2073,4454
18,36,8,46,2,[],18,2073,4455
10,29,26,36,2,[],10,2073,4456
25,33,2,58,2,[],25,2073,4457
22,25,28,38,2,[],22,2073,4458
-1,18,0,18,0,[],-1,2073,4459
25,31,5,46,2,[],25,2074,4460
15,26,15,58,1,[],15,2074,4461
10,34,29,49,1,[],10,2074,4462
-1,23,0,27,0,[],-1,2074,4463
24,33,10,61,1,[],24,2074,4464
4,40,8,64,1,[],4,2074,4465
-1,26,0,30,0,[],-1,2074,4466
22,32,23,35,2,[],22,2074,4467
6,35,6,45,2,[],6,2074,4468
7,33,7,44,2,[],28,2074,4469
20,26,15,42,2,[],20,2074,4470
28,34,17,37,2,[],28,2074,4471
23,33,14,42,2,[],23,2074,4472
-1,27,0,31,0,[],-1,2074,4473
29,26,4,48,2,[],29,2074,4474
19,26,10,45,2,[],19,2074,4475
28,36,17,55,1,['B'],28,2074,4476
13,29,22,55,1,[],13,2074,4477
-1,30,0,31,0,[],-1,2074,4478
5,24,11,45,2,[],5,2074,4479
26,23,12,62,1,[],26,2074,4480
20,33,16,57,1,[],20,2074,4481
8,34,18,55,1,[],8,2074,4482
6,32,7,64,1,[],6,2074,4483
21,27,19,57,1,[],21,2074,4484
29,39,5,65,1,[],29,2074,4485
19,32,9,60,1,[],19,2074,4486
10,23,29,34,2,[],2,2074,4487
11,31,26,53,1,[],11,2074,4488
15,30,16,38,2,[],15,2074,4489
24,30,9,44,2,[],24,2074,4490
27,30,14,60,1,[],27,2074,4491
27,20,13,44,2,[],27,2074,4492
23,27,13,60,1,[],23,2074,4493
26,29,12,43,2,[],26,2074,4494
2,32,27,55,1,[],2,2074,4495
7,54,1,66,1,"['B', 'Ps']",7,2074,4496
-1,18,0,24,0,[],-1,2074,4497
3,35,25,54,1,[],3,2074,4498
1,54,4,63,1,['B'],1,2074,4499
12,54,3,72,1,"['B', 'Ps']",12,2074,4500
0,33,23,58,1,[],0,2074,4501
-1,24,0,29,0,[],-1,2074,4502
25,49,6,65,1,[],25,2074,4503
16,33,30,51,1,[],16,2074,4504
21,25,19,41,2,[],21,2074,4505
14,40,2,70,1,['A'],14,2074,4506
12,34,2,48,2,[],12,2074,4507
3,20,25,40,2,[],3,2074,4508
1,31,3,51,2,[],1,2074,4509
14,37,1,49,2,[],14,2074,4510
2,32,26,32,2,[],2,2074,4511
22,37,21,56,1,['B'],22,2074,4512
-1,29,0,32,0,[],-1,2074,4513
4,33,8,47,2,[],4,2074,4514
11,22,27,40,2,[],11,2074,4515
16,31,30,31,2,[],16,2074,4516
-1,27,0,33,0,[],-1,2074,4517
-1,24,0,28,0,[],-1,2074,4518
18,42,20,55,1,"['A', 'Dp']",18,2074,4519
17,37,28,52,1,[],17,2074,4520
5,54,11,55,1,[],5,2074,4521
9,39,24,54,1,[],9,2074,4522
-1,23,0,27,0,[],-1,2074,4523
13,33,22,34,2,[],13,2074,4524
8,35,18,40,2,[],8,2074,4525
17,28,28,35,2,[],17,2074,4526
0,30,21,42,2,[],0,2074,4527
18,30,20,40,2,[],18,2074,4528
9,30,24,34,2,[],9,2074,4529
27,27,3,45,2,[],27,2075,4530
0,41,1,75,1,[],0,2075,4531
5,40,10,59,1,[],5,2075,4532
9,27,28,32,2,[],9,2075,4533
28,33,23,50,1,[],28,2075,4534
22,22,14,41,2,[],22,2075,4535
3,34,7,63,1,[],3,2075,4536
14,34,4,63,1,[],14,2075,4537
15,33,7,43,2,[],23,2075,4538
-1,19,0,26,0,[],-1,2075,4539
20,24,28,51,1,[],20,2075,4540
23,24,26,52,1,[],23,2075,4541
2,23,27,33,2,[],15,2075,4542
7,23,21,36,2,[],7,2075,4543
-1,22,0,22,0,[],-1,2075,4544
26,20,20,37,2,[],26,2075,4545
8,26,17,38,2,[],8,2075,4546
1,32,5,47,2,[],1,2075,4547
10,28,25,34,2,[],10,2075,4548
29,23,16,39,2,[],29,2075,4549
2,25,27,50,1,[],2,2075,4550
4,30,18,53,1,[],4,2075,4551
11,32,14,57,1,[],11,2075,4552
26,37,21,51,1,[],26,2075,4553
24,27,11,62,1,[],24,2075,4554
7,29,20,52,1,[],7,2075,4555
29,34,16,55,1,[],29,2075,4556
14,30,2,48,2,[],14,2075,4557
-1,20,0,26,0,[],-1,2075,4558
10,28,25,51,1,[],10,2075,4559
25,32,1,46,2,[],25,2075,4560
6,30,12,59,1,[],6,2075,4561
8,29,17,54,1,[],8,2075,4562
20,23,29,31,2,[],20,2075,4563
22,34,13,58,1,[],22,2075,4564
19,48,9,59,1,[],19,2075,4565
16,26,30,53,1,[],16,2075,4566
17,38,15,57,1,[],17,2075,4567
21,30,22,54,1,[],21,2075,4568
0,32,4,47,2,[],0,2075,4569
3,32,6,45,2,[],3,2075,4570
-1,16,0,31,0,[],-1,2075,4571
12,32,18,36,2,[],12,2075,4572
18,42,8,62,1,['B'],18,2075,4573
17,24,13,42,2,[],17,2075,4574
21,24,22,37,2,[],21,2075,4575
-1,26,0,30,0,[],-1,2075,4576
12,43,19,50,1,[],12,2075,4577
27,55,5,60,1,['B'],27,2075,4578
6,32,12,38,2,[],6,2075,4579
9,36,29,36,1,[],9,2075,4580
15,49,3,73,1,['B'],15,2075,4581
18,31,9,45,2,[],18,2075,4582
25,51,2,62,1,[],25,2075,4583
-1,23,0,31,0,[],-1,2075,4584
16,27,30,35,2,[],16,2075,4585
19,26,8,48,2,[],19,2075,4586
13,33,24,56,1,[],13,2075,4587
1,55,6,59,1,"['B', 'Ps']",1,2075,4588
5,26,11,48,2,[],5,2075,4589
